CMDLINE /Users/benfourcin/miniconda3/envs/ben-wk/bin/python memory_profile.py
MEM 0.144531 1645013963.3500
MEM 10.738281 1645013963.4525
MEM 14.863281 1645013963.5530
MEM 14.925781 1645013963.6639
MEM 16.929688 1645013963.7643
MEM 20.070312 1645013963.8646
MEM 22.816406 1645013963.9651
MEM 25.953125 1645013964.0682
MEM 30.464844 1645013964.1712
MEM 34.167969 1645013964.2714
MEM 38.605469 1645013964.3718
MEM 42.988281 1645013964.4728
MEM 47.621094 1645013964.5738
MEM 47.773438 1645013964.6746
MEM 47.773438 1645013964.7842
MEM 47.773438 1645013964.8846
MEM 47.812500 1645013964.9860
MEM 47.910156 1645013965.0862
MEM 48.058594 1645013965.1869
MEM 48.191406 1645013965.2872
MEM 48.972656 1645013965.3875
MEM 49.371094 1645013965.4880
MEM 49.968750 1645013965.5884
MEM 50.222656 1645013965.6922
MEM 50.367188 1645013965.7927
MEM 54.289062 1645013965.8952
MEM 58.253906 1645013965.9958
MEM 59.816406 1645013966.0965
MEM 61.468750 1645013966.1966
MEM 64.929688 1645013966.3005
MEM 68.519531 1645013966.4017
MEM 71.035156 1645013966.5024
MEM 75.675781 1645013966.6027
MEM 79.894531 1645013966.7030
MEM 82.042969 1645013966.8034
MEM 87.472656 1645013966.9036
MEM 92.074219 1645013967.0045
MEM 94.964844 1645013967.1050
MEM 96.070312 1645013967.2052
MEM 99.031250 1645013967.3104
MEM 101.074219 1645013967.4113
MEM 102.679688 1645013967.5127
MEM 104.000000 1645013967.6175
MEM 107.265625 1645013967.7198
MEM 110.238281 1645013967.8202
MEM 111.457031 1645013967.9244
MEM 111.492188 1645013968.0285
MEM 111.914062 1645013968.1325
MEM 112.050781 1645013968.2361
MEM 112.464844 1645013968.3413
MEM 112.792969 1645013968.4445
MEM 113.214844 1645013968.5449
MEM 113.484375 1645013968.6452
MEM 113.746094 1645013968.7455
MEM 119.625000 1645013968.8499
MEM 121.484375 1645013968.9547
MEM 121.746094 1645013969.0590
MEM 123.761719 1645013969.1624
MEM 127.171875 1645013969.2629
MEM 144.335938 1645013969.3671
MEM 156.269531 1645013969.4699
MEM 165.136719 1645013969.5704
MEM 173.226562 1645013969.6727
MEM 177.296875 1645013969.7778
MEM 181.062500 1645013969.8787
MEM 184.968750 1645013969.9789
MEM 186.515625 1645013970.0820
MEM 189.128906 1645013970.1862
MEM 190.585938 1645013970.2889
MEM 191.648438 1645013970.3923
MEM 192.859375 1645013970.4951
MEM 193.941406 1645013970.5991
MEM 195.304688 1645013970.7022
MEM 196.234375 1645013970.8026
MEM 197.207031 1645013970.9049
MEM 199.046875 1645013971.0080
MEM 200.253906 1645013971.1112
MEM 203.019531 1645013971.2134
MEM 206.625000 1645013971.3178
MEM 207.628906 1645013971.4218
MEM 209.398438 1645013971.5266
MEM 211.941406 1645013971.6268
MEM 213.183594 1645013971.7270
MEM 215.089844 1645013971.8271
MEM 218.078125 1645013971.9291
MEM 220.832031 1645013972.0328
MEM 223.648438 1645013972.1361
MEM 226.000000 1645013972.2366
MEM 228.820312 1645013972.3377
MEM 230.296875 1645013972.4381
MEM 230.437500 1645013972.5426
MEM 230.601562 1645013972.6467
MEM 230.832031 1645013972.7511
MEM 230.917969 1645013972.8563
MEM 231.019531 1645013972.9599
MEM 231.019531 1645013973.0634
MEM 231.019531 1645013973.1645
MEM 231.019531 1645013973.2676
MEM 231.019531 1645013973.3725
MEM 231.019531 1645013973.4771
MEM 231.019531 1645013973.5779
MEM 231.019531 1645013973.6813
MEM 231.019531 1645013973.7865
MEM 231.019531 1645013973.8912
MEM 231.839844 1645013973.9932
MEM 232.773438 1645013974.0977
MEM 233.980469 1645013974.1998
